DATE,DRSFRMACBS
1998-01,2.2
1998-04,2.13
1998-07,2.09
1998-10,2.02
1999-01,1.95
1999-04,1.89
1999-07,2.13
1999-10,1.99
2000-01,1.95
2000-04,1.97
2000-07,2.09
2000-10,2.22
2001-01,2.34
2001-04,2.4
2001-07,2.19
2001-10,2.26
2002-01,2.23
2002-04,2.16
2002-07,2.11
2002-10,2
2003-01,1.96
2003-04,1.83
2003-07,1.74
2003-10,1.76
2004-01,1.65
2004-04,1.6
2004-07,1.54
2004-10,1.41
2005-01,1.42
2005-04,1.55
2005-07,1.59
2005-10,1.63
2006-01,1.61
2006-04,1.62
2006-07,1.74
2006-10,1.91
2007-01,2.08
2007-04,2.31
2007-07,2.7
2007-10,3.09
2008-01,3.66
2008-04,4.38
2008-07,5.3
2008-10,6.6
2009-01,7.95
2009-04,8.59
2009-07,9.54
2009-10,10.35
2010-01,11.53
2010-04,11.06
2010-07,10.6
2010-10,10.37
2011-01,10.35
2011-04,10.52
2011-07,10.5
2011-10,10.29
2012-01,10.35
2012-04,10.42
2012-07,10.43
2012-10,10.05
2013-01,9.75
2013-04,9.29
2013-07,8.65
2013-10,8.32
2014-01,7.77
2014-04,7.41
2014-07,7.06
2014-10,6.54
2015-01,6.23
2015-04,5.8
2015-07,5.4
2015-10,5.09
2016-01,4.81
2016-04,4.57
2016-07,4.36
2016-10,4.15
